114	jingle all the way	brian levant	comedy/family/holiday	1h 35m	15%	1996	n/a	TRUE	n/a
115	r.o.t.o.r	cullen blaine	sci-fi/thriller	1h 30m	37%	1987	n/a	TRUE	n/a
116	karate cop aka dragon cop	alan roberts	drama/action 	1h 40m	43%	1991	dragon cop	FALSE	n/a
117	phantom raiders	sonny sanders	action	1h 30min	42%	1988	n/a	TRUE	Deep within the steaming tropical jungles of Vietnam is a Viet Cong terrorist training camp, run by an ex-Green Beret, William Marshall. A roving photographer stumbles upon the hidden camp and starts to take pictures. He is caught and summarily executed but the photos make it back to Washington. The CIA decide to send in an elite team of jungle warfare commandos, the Phantom Raiders, to establish whether Marshall is a POW or has gone bad. But another element has been added to this dangerous game. One of the Phantom Raiders is Marshall's son. Now he must come face to face with the enigma that was his father. The Phantom Raiders is a non-stop film of explosive action, with enough mayhem to leave you breathless.
118	the blademaster	joe d'amato	fantasy/action	1h 32m	19%	1984	ator 2 - l'invincibile orion	FALSE	n/a
119	proteus	bob keen	adaptation/drama/sci-fi	1h 36m	22%	1995	n/a	FALSE	n/a
120	monolith 	john eyres	action/sci-fi	1h 31m	29%	1993	n/a	FALSE	n/a
121	creature	william malone	horror/sci-fi	1h 37m	12%	1985	n/a	TRUE	n/a
122	cujo	lewis teague	thriller/horror	2h 15m	61%	1983	n/a	TRUE	n/a
123	hercules	luigi cozzi	fantasy/action	1h 40m	25%	1983	n/a	FALSE	n/a
124	lifeforce	tobe hooper	sci-fi/thriller	1h 56m	58%	1985	n/a	FALSE	n/a
125	joey	roland emmerich	horror/sci-fi	1h 38m	23%	1985	making contact 	FALSE	n/a
126	invader	philip cook	sci-fi	1h 35m	17%	1992	n/a	FALSE	n/a
127	survival zone 	percival rubens	thriller/drama	1h 30m	30%	1983	n/a	FALSE	n/a
128	terror train 	roger spottiswoode	slasher/thriller	1h 37m	33%	1980	n/a	FALSE	n/a
129	space mutiny 	david winters	action/romance/sci-fi	1h 48m	12%	1988	n/a	TRUE	n/a
130	future zone 	david a. prior	sci-fi/action	1h 19m	0%	1990	n/a	TRUE	n/a
131	laser mission 	bj davis	action/fantasy/sci-fi	1h 30m	25%	1989	n/a	TRUE	n/a
132	fire head 	peter yuval	thriller/action	1h 28m	10%	1991	n/a	FALSE	n/a
133	final justice 	greydon clark	thriller/indie	1h 32m	13%	1985	n/a	TRUE	n/a
134	gymkata 	robert clouse	action/adventure	1h 30m	17%	1985	n/a	TRUE	n/a
135	cool as ice 	david kellogg	cult/comedy	1h 40m	7%	1991	n/a	TRUE	n/a
136	the last dragon	michael schultz	drama/cult	1h 49m	59%	1985	n/a	FALSE	n/a
